,ds,y
0,2017:12:25 07:30:07,9.5
1,2017:12:25 08:33:56,9.3
2,2017:12:25 09:15:07,9.4
3,2017:12:25 09:27:30,9.5
4,2017:12:25 09:33:42,9.3
5,2017:12:25 10:00:29,9.4
6,2017:12:25 10:16:56,9.5
7,2017:12:25 10:31:19,9.6
8,2017:12:25 10:39:33,9.7
9,2017:12:25 10:58:07,9.8
10,2017:12:25 11:16:38,9.9
11,2017:12:25 11:45:26,10.0
12,2017:12:25 11:59:51,9.6
13,2017:12:25 12:01:55,10.1
14,2017:12:25 12:08:06,10.2
15,2017:12:25 12:24:33,10.3
16,2017:12:25 12:43:06,10.4
17,2017:12:25 13:05:43,10.5
18,2017:12:25 13:24:16,10.6
19,2017:12:25 13:34:34,10.4
20,2017:12:25 13:59:16,10.5
21,2017:12:25 14:03:24,10.4
22,2017:12:25 14:32:12,10.1
23,2017:12:25 14:46:37,10.0
24,2017:12:25 15:13:23,10.1
25,2017:12:25 15:34:02,10.3
26,2017:12:25 16:46:04,10.2
27,2017:12:25 17:33:21,10.1
28,2017:12:25 17:45:43,10.3
29,2017:12:25 17:47:47,10.1
30,2017:12:25 18:02:12,10.2
31,2017:12:25 18:06:19,10.1
32,2017:12:25 18:08:23,10.2
33,2017:12:25 18:10:27,10.3
34,2017:12:25 18:12:31,10.2
35,2017:12:25 18:14:34,10.3
36,2017:12:25 18:16:38,10.2
37,2017:12:25 18:18:41,10.3
38,2017:12:25 18:33:05,10.2
39,2017:12:25 18:53:42,10.3
40,2017:12:25 19:12:17,10.4
41,2017:12:25 19:32:53,9.9
42,2017:12:25 19:49:21,10.0
43,2017:12:25 20:07:52,9.9
44,2017:12:25 20:32:37,9.1
45,2017:12:25 20:53:12,9.0
46,2017:12:25 21:01:26,9.0
47,2017:12:25 21:03:30,9.0
48,2017:12:25 21:07:38,8.9
49,2017:12:25 21:19:59,8.8
50,2017:12:25 21:30:17,8.7
51,2017:12:25 21:38:28,8.6
52,2017:12:25 21:48:47,8.5
53,2017:12:25 21:54:56,8.4
54,2017:12:25 22:03:07,8.3
55,2017:12:25 22:09:20,8.2
56,2017:12:25 22:17:35,8.1
57,2017:12:25 22:23:46,8.0
58,2017:12:25 22:29:56,7.9
59,2017:12:25 22:34:04,8.3
